JCAT	Satcat	Launch_Tag	Piece	Type	Name	PLName	LDate	Parent	SDate	Primary	DDate	Status	Dest	Owner	State	Manufacturer	Bus	Motor	Mass	MassFlag	DryMass	DryFlag	TotMass	TotFlag	Length	LFlag	Diameter	DFlag	Span	SpanFlag	Shape	ODate	Perigee	PF	Apogee	AF	Inc	IF	OpOrbit	OQUAL	AltNames
C00100	NNA	-	-	R2	Unknown	Same as WT1190F	-	-	2009 Jan	Earth	2009 Jan	ERR	C00103	NASA	US	-	-	-	0		0		0		0.0		0.0		0.0		-	2009 Oct 28	48596		899735		23.20		CLO	-	-
C00101	NNA	-	-	P	Unknown NRO (Sirio mistag)	ISON UI.41	-	-	2009 Jan	Earth	-	O	-	NRO	US	-	-	-	0		0		0		0.0		0.0		0.0		-	2002 Dec  1	35603		36005		12.98		GEO/ID	-	-
C00102	NNA	-	-	R2	Unknown 9U01FF6	Same as WT1190F	-	-	2009 Jan	Earth	2009 Jan	ERR	C00103	NASA	US	-	-	-	0		0		0		0.0		0.0		0.0		-	2014 Jan 12	99564		547783		80.69		CLO	-	-
C00103	NNA	-	-	R2	Unknown WT1190F	-	-	-	2008 Dec	Earth	2015 Nov 13 0618	R	Sri Lanka	UNK	US	-	-	-	0		0		0		0.0		0.0		0.0		-	2015 Oct  1	21761		672783		9.83		CLO	-	-
C00104	27540	1999-040	1999-040	R2	Unknown WJ2B5AC	Integral       ?	1999 Jul 23	-	2015 Jan	Earth	-	O	-	NASA	US	-	-	-	0		0		0		0.0		0.0		0.0		-	2015 Aug  1	8995		140458		53.16		VHEO	-	-
C00105	NNA	-	-	R2	Unknown 6Q0B44E	Unknown XL8D89E	-	-	2015 Jan	Earth	-	O	-	NASA	US	-	-	-	0		0		0		0.0		0.0		0.0		-	2016 Jan  1	631283		967563		52.42		CLO	-	-
C00106	25989	1999-066	1999-066A	P   D	Unknown S509356	XMM-Newton	1999 Dec 10	-	2016 Apr	Earth	-	O	E/	NASA	US	-	-	-	0		0		0		0.0		0.0		0.0		-	2016 May 30	30395		154784		47.11		DSO	-	-
C00107	NNA	-	-	P	Unknown UI058	ISON UI.58	-	-	2016 Jan	Earth	-	O	-	UNK	US	-	-	-	0		0		0		0.0		0.0		0.0		-	2016 Jan  1	37397		37681		16.86		VHEO	-	-
C00108	NNA	-	-	P	Unknown UI168	ISON UI.168	-	-	2016 Jan	Earth	-	O	-	UNK	US	-	-	-	0		0		0		0.0		0.0		0.0		-	2016 Jan  1	34750		36872		14.47		GEO/ID	-	-
C00109	NNA	-	-	P	Unknown UI031	ISON UI.31	-	-	2016 Jan	Earth	-	O	-	UNK	US	-	-	-	0		0		0		0.0		0.0		0.0		-	2016 Jan  1	34844		36774		4.79		GEO/ID	-	-
C00110	NNA	-	-	P	Unknown UI044	ISON UI.44	-	-	2016 Jan	Earth	-	O	-	UNK	US	-	-	-	0		0		0		0.0		0.0		0.0		-	2016 Jan  1	35604		35943		14.07		GEO/ID	-	-
C00111	NNA	-	-	P	Unknown UI139	ISON UI.139	-	-	2016 Jan	Earth	-	O	-	UNK	US	-	-	-	0		0		0		0.0		0.0		0.0		-	2016 Jan  1	35592		35992		15.09		GEO/I	-	-
C00112	NNA	-	-	P	ETBO YS18A5C	YS16534 = A104ayW =A104lks	-	-	2017 Jan	Earth	-	O	-	UNK	US	-	-	-	0		0		0		0.0		0.0		0.0		-	2017 Sep 30	5104		120174		20.08		VHEO	-	-
C00113	NNA	-	-	P	Asteroid 2017 WW1	-	-	-	2017 Jan	Earth	-	O	-	UNK	US	-	-	-	0		0		0		0.0		0.0		0.0		-	2017 Nov 21	134574		-152484		54.95		EEO	-	-
C00114	NNA	-	-	P	Unknown ZD8FCAE	Unknown ZFA6869	-	-	2018 Jan	Earth	-	O	-	UNK	US	-	-	-	0		0		0		0.0		0.0		0.0		-	2018 Feb 23	9620		180839		7.32		DSO	-	-
C00115	NNA	-	-	P	Unknown ZBAFC69	2018 AV2	-	-	2018 Jan	Earth	-	O	-	UNK	US	-	-	-	0		0		0		0.0		0.0		0.0		-	2018 Jan 19							-	-	-
C00116	NNA	-	-	P	Asteroid 2010 WC9	-	-	-	2017 Jan	Earth	-	O	-	UNK	US	-	-	-	0		0		0		0.0		0.0		0.0		-	2017 Sep 30	5104		120174		20.08		VHEO	-	-
C00117	NNA	-	-	P	Unknown S511443	-	-	-	2018 Jan	Earth	-	O	-	UNK	US	-	-	-	0		0		0		0.0		0.0		0.0		-	2018 Jun 22	678		61964		24.00		HEO	-	-
C00118	NNA	-	-	P	Unknown S509559	Vela object?	-	-	2016 Apr 28	Earth	-	O	-	UNK	US	-	-	-	0		0		0		0.0		0.0		0.0		-	2017 Mar 26	57450		166543		14.58		DSO	-	-
C00119	NNA	2002-048	2002-048A	P   D	Not Integral	S27540 spurious TLEs	2002 Oct 17	S27542	2002 Oct 17 0613	Earth	-	O	-	ESA	I-ESA	ALEN	XMM	AOCS	3954		3414		3954		6.0		3.2		16.0		Box + Cyl + 2 Pan	2002 Oct 28	2285		152813		52.16		DSO	-	-
C00120	NNA	-	-	P	Unknown 900DC57	-	-	-	2018 Jan	Earth	-	O	-	UNK	US	-	-	-	0		0		0		0.0		0.0		0.0		-	2012 Jan  1	10517		122176		36.21		VHEO	-	-
C00121	NNA	-	-	P	Unknown ZGBD4BF	Vela object?	-	-	2018 Apr 12	Earth	-	O	-	UNK	US	-	-	-	0		0		0		0.0		0.0		0.0		-	2018 May  1	53615		169000		15.81		DSO	-	-
C00122	NNA	-	-	P	Unknown XV902A4	XW99CEC	-	-	2016 Nov 11	Earth	-	O	-	UNK	US	-	-	-	0		0		0		0.0		0.0		0.0		-	2016 Oct 30	5167		119054		18.13		VHEO	-	-
C00123	NNA	-	-	P	Unknown XL8D89E	-	-	-	2016 Mar 30	Earth	-	O	-	UNK	US	-	-	-	0		0		0		0.0		0.0		0.0		-	2016 Mar 30	715605		952642		39.14		CLO	-	-
C00124	08749	1976-023	1976-023D	P	Unknown S510923	SR 11B?	1976 Mar 15	S08748	1976 Mar 22 1100?	Earth	-	O	-	USAF	US	NRL	SR 11	Star 13A	171		171		171		0.4		1.5		2.5	?	Cyl + 2 Pan	1976 Mar 18	115720		116645		25.60		VHEO	-	-
C00125	NNA	-	-	P	Asteroid ZU1CE58	-	-	-	2018 Oct 19	Earth	-	O	-	UNK	US	-	-	-	0		0		0		0.0		0.0		0.0		-	2017 Nov 21	134574		-152484		54.95		EEO	-	-
C00126	NNA	-	-	P	Unknown ZTF02CP	-	-	-	2018 Oct 19	Earth	-	O	-	UNK	US	-	-	-	0		0		0		0.0		0.0		0.0		-	2019 Jan 10	6877		153882		23.78		DSO	-	-
C00127	NNA	-	-	P	ETBO A10bMLz	Empty Trash Bag Object	-	-	2019 Jan 25	Earth	-	O	-	UNK	US	-	-	-	0		0		0		0.0		0.0		0.0		-	2019 Feb 20	1761		487673		104.82		CLO	-	-
C00128	NNA	-	-	P	Asteroid ZTF02Rm	-	-	-	2019 Feb  1	Earth	-	O	-	UNK	US	-	-	-	0		0		0		0.0		0.0		0.0		-	2019 Jan 19							-	-	-
C00129	NNA	-	-	P	ETBO C0T2J32	Empty Trash Bag Object	-	-	2019 Jan 25	Earth	-	O	-	UNK	US	-	-	-	0		0		0		0.0		0.0		0.0		-	2019 Jul  3	0		0		0.00		-	-	-
C00130	NNA	-	-	P	Unknown S511700	-	-	-	2018 Jan	Earth	-	O	-	UNK	US	-	-	-	0		0		0		0.0		0.0		0.0		-	2018 Jun 22	678		61964		24.00		HEO	-	-
C00131	NNA	-	-	CX	ETBO C3X8PK1	-	-	-	-	-	-	-	-	-	-	-	-	-	0		0		0		0.0		0.0		0.0		-	2023 Oct 17							-	-	-
C00200	NNA	-	-	P	ISON	-	-	-	2019 Feb  1	Earth	-	O	-	UNK	US	-	-	-	0		0		0		0.0		0.0		0.0		-	2019 Jan 19							-	-	-
C00201	NNA	-	-	P	Phobos	Pseudo entry	-	-	2019 Feb  1	Earth	-	O	-	UNK	US	-	-	-	0		0		0		0.0		0.0		0.0		-	2019 Jan 19							-	-	-
C00202	NNA	-	-	P	Deimos	Pseudo entry	-	-	2019 Feb  1	Earth	-	O	-	UNK	US	-	-	-	0		0		0		0.0		0.0		0.0		-	2019 Jan 19							-	-	-
C00300	NNA	-	-	P	Future Launch	Pseudo entry	-	-	2019 Feb  1	Earth	-	O	-	UNK	US	-	-	-	0		0		0		0.0		0.0		0.0		-	2019 Jan 19							-	-	-
C00301	NNA	-	-	CX	Asteroid 2019 OK	A10f1QW	-	-	2019 Jul 25	Earth	-	O	-	UNK	US	-	-	-	0		0		0		0.0		0.0		0.0		-	2019 Jul 24							-	-	-
