genus,image_url,summary
Dolomena,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Dolomena_variabilis_01.JPG/250px-Dolomena_variabilis_01.JPG,"Dolomena is a genus of sea snails, marine gastropod mollusks in the family Strombidae, the true conchs.
The name of the genus Dolomena was originally introduced by Iredale in 1931, but he did not provide a description. Therefore, he was not accepted as the author of this genus (Art."
Propeamussium,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Propeamussiidae_-_Propeamussium_eocenicum.JPG/250px-Propeamussiidae_-_Propeamussium_eocenicum.JPG,"Propeamussium is a genus of saltwater clams, marine bivalve mollusks in the order Ostreoida.
Living representatives of the genus enjoy a global distribution. The Global Biodiversity Information Facility lists 50 accepted species."
Conasprella,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Sto%C5%BCki2.jpg/250px-Sto%C5%BCki2.jpg,"Cone snails, or cones, are highly venomous sea snails that constitute the family Conidae. Conidae is a taxonomic family (previously subfamily) of predatory marine gastropod molluscs in the superfamily Conoidea. 
The 2014 classification of the superfamily Conoidea groups only cone snails in the family Conidae. Some previous classifications grouped the cone snails in a subfamily, Coninae. As of March 2015 Conidae contained over 800 recognized species, varying widely in size from lengths of 1.3 cm to 21.6 cm. Working in 18th-century Europe, Carl Linnaeus knew of only 30 species that are still considered valid.
Fossils of cone snails have been found from the Eocene to the Holocene epochs. Cone snail species have shells that are roughly conical in shape. Many species have colorful patterning on the shell surface. Cone snails are almost exclusively tropical in distribution.
All cone snails are venomous and capable of stinging. Cone snails use a modified radula tooth and a venom gland to attack and paralyze their prey before engulfing it. The tooth, which is likened to a dart or a harpoon, is barbed and can be extended some distance out from the head of the snail at the end of the proboscis.
Cone snail venoms are mainly peptide-based, and contain many different toxins that vary in their effects. The sting of several larger species of cone snails can be serious, and even fatal to humans. Cone snail venom also shows promise for medical use."
Ilanga,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Ilanga_euryomphalos_%28MNHN-IM-2000-34397%29.jpeg/250px-Ilanga_euryomphalos_%28MNHN-IM-2000-34397%29.jpeg,"Ilanga is a genus of sea snails, marine gastropod mollusks in the family Solariellidae."
Seminella,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Seminella_comistea_%28MNHN-IM-2015-2329%29.jpeg/250px-Seminella_comistea_%28MNHN-IM-2015-2329%29.jpeg,"Seminella is a genus of sea snails, marine gastropod mollusks in the family Columbellidae, the dove snails.


== Description ==
The shells in this genus are small. They contain axial ribs and a fine spiral sculpture."
Austromitra,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Austromitra_analogica_001.jpg/250px-Austromitra_analogica_001.jpg,"Austromitra is a genus of sea snails in the family Costellariidae. They are small carnivorous marine gastropod mollusks, most of which are less than 15 mm in length. They live on hard substrates, intertidally and to a depth of at least 1000 m."
Tritia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Tritia_reticulata.jpg/250px-Tritia_reticulata.jpg,"Tritia is a genus of sea snails, marine gastropod mollusks in the family Nassariidae, the Nassa mud snails or dog whelks.[1]
Description

(Described as Neritula) The shell is ovate, depressed, with the axis distorted. The spire is flattened and oblique. The whorls are smooth. The aperture is depressed. The columella is smooth. The inner lip is callous and is spread over the body whorl. The outer lip is reflected, not denticulate or striated.

The body whorl is depressed and extends over the penultimate whorl, nearly covering and concealing the spire, which, consequently, appears very obtuse.[2] "
Fusivoluta,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Shell_Fusivoluta_lemaitrei.jpg/250px-Shell_Fusivoluta_lemaitrei.jpg,"Fusivoluta is a genus of sea snails and marine gastropod mollusks in the family Volutidae.


== Species ==
Species within the genus Fusivoluta include:

Fusivoluta anomala (Martens, 1902)
Fusivoluta barnardi Rehder, 1969
Fusivoluta blaizei (Barnard, 1959)
Fusivoluta clarkei Rehder, 1969
Fusivoluta decussata Barnard, 1959
Fusivoluta lemaitrei Poppe, 1992
Fusivoluta profundorum Bail & Puillandre, 2012
Fusivoluta pyrrhostoma (Watson, 1882)
Fusivoluta sculpturata (Tomlin, 1945)
Fusivoluta wesselsi Kilburn, 1980
Species brought into synonymy

Fusivoluta aikeni Lussi, 2011: synonym of  Belomitra aikeni (Lussi, 2011) (original combination)
Fusivoluta capensis (Thiele, 1925): synonym of Glypteuthria capensis Thiele, 1925
Fusivoluta elegans Barnard, 1959: synonym of Exilia elegans (Barnard, 1959) (original combination)


== Distribution ==
This marine genus is restricted to southern African waters and adjacent areas.


== References ==

Bail P. & Poppe G.T. 2001."
Cribrarula,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Cypraeacribraria.jpg/250px-Cypraeacribraria.jpg,"Cribrarula is a genus of sea snails, marine gastropod mollusks in the family Cypraeidae, the cowries.


== Species ==
Species within the genus Cribrarula include:

Cribrarula abaliena Lorenz, 1989
Cribrarula abrolhensis Lorenz, 2002
Cribrarula astaryi Schilder, 1971
Cribrarula boninensis Simone & Takashigue, 2016
Cribrarula catholicorum Schilder & Schilder, 1938
†Cribrarula cincta (K. Martin, 1899) 
Cribrarula comma (Perry, 1811)
Cribrarula compta (Pease, 1860)
Cribrarula cribellum (Gaskoin, 1849)
Cribrarula cribraria Linnaeus, 1758
Cribrarula cumingii (Sowerby I, 1832)
Cribrarula esontropia (Duclos, 1833)
Cribrarula exmouthensis (Melvill, 1888)
Cribrarula fallax (E.A. Smith, 1881)
Cribrarula francescoi Lorenz, 2002
Cribrarula garciai Lorenz & Raines, 2001
Cribrarula gaskoini (Reeve, 1846)
Cribrarula gaspardi Biraghi & Nicolay, 1993
Cribrarula gravida Moretzsohn, 2002
Cribrarula melwardi (Iredale, 1930)
Cribrarula pellisserpentis Lorenz, 1999
Cribrarula rottnestensis Lorenz, 2002
Cribrarula taitae (Burgess, 1993)
Species brought into synonymy
Cribrarula angelae Moretzsohn & Beals, 2009: accepted as Cribrarula rottnestensis angelae Moretzsohn & Beals, 2009 
Cribrarula fischeri (Vayssière, 1911): accepted as Cribrarula esontropia (Duclos, 1833)
Cribrarula lefaiti P. Martin & Poppe, 1989: accepted as Cribrarula astaryi F. A. Schilder, 1971
Cribrarula toliaraensis Bozzetti, 2007: accepted as Cribrarula comma toliaraensis Bozzetti, 2007


== References ==


== External links ==

Jousseaume, F. (1884). Division des Cypraeidae."
Bistolida,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Bistolida_kieneri_depriesteri_002.jpg/250px-Bistolida_kieneri_depriesteri_002.jpg,"Bistolida is a genus of sea snails, marine gastropod mollusks in the family Cypraeidae, the cowries.


== Species ==
Species within the genus Bistolida include:

Bistolida brevidentata (Sowerby, 1870)
 Bistolida diauges (Melvill, 1888) 
Bistolida erythraeensis (Sowerby, 1837)
Bistolida fuscomaculata (Pease, 1865)
Bistolida goodallii (Sowerby, 1832)
Bistolida hirundo (Linnaeus, 1758)
Bistolida kieneri (Hidalgo, 1906) 
Bistolida nanostraca Lorenz & Chiapponi, 2012
Bistolida owenii (Sowerby, 1837) 
Bistolida piae Lorenz & Chiapponi, 2005
Bistolida stolida (Linnaeus, 1758)
Bistolida ursellus (Gmelin, 1791) 
Bistolida vasta Schilder & Schilder, 1938
Species brought into synonymy

Bistolida summersi Schilder, 1958: synonym of Blasicrura summersi (Schilder, 1958)


== References ==


== External links ==

Jousseaume, F. (1884). Division des Cypraeidae."
