JCAT	Satcat	Launch_Tag	Piece	Type	Name	PLName	LDate	Parent	SDate	Primary	DDate	Status	Dest	Owner	State	Manufacturer	Bus	Motor	Mass	MassFlag	DryMass	DryFlag	TotMass	TotFlag	Length	LFlag	Diameter	DFlag	Span	SpanFlag	Shape	ODate	Perigee	PF	Apogee	AF	Inc	IF	OpOrbit	OQUAL	AltNames
C80000	NNA	1991-056	1991-056	D  P	deb S5M	-	1991 Aug 15	S21656	2020 Feb 12 1046	Earth	-	O	-	RGMS	RU	-	-	-	0		0		0		0.0		0.0		0.0		-	2021 Feb 14	1166		1201		82.55		LEO/I	-	-
C81036	NNA	-	-	D  P	deb SOZ?	-	-	-	2018 Oct  1	Earth	-	O	-	RVSN	RU	-	-	-	0		0		0		0.0		0.0		0.0		-	2018 Oct  1	657		5942		66.09		MEO	-	-
C81037	NNA	1968-097	1968-097	D  W	deb IS?	-	1968 Nov  1	S03530	1968 Nov  1 0402	Earth	-	O	-	PKO	RU	-	-	-	0		0		0		0.0		0.0		0.0		-	2022 Oct 11	449		755		62.20		LEO/I	-	-
C81052	NNA	1971-015	1971-015	D  W	deb IS?	-	1971 Feb 25	S04964	1971 Feb 25 1431	Earth	-	O	-	PKO	SU	-	-	-	0		0		0		0.0		0.0		0.0		-	2025 Oct 21	542		1370		65.77		LEO/I	-	-
C81067	NNA	1999-025	1999-025	D  W	Probable deb FY-1C	-	1999 May 10	S25730	2007 Jan 11 2228	Earth	-	O	-	CASC	CN	-	-	-	0		0		0		0.0		0.0		0.0		-	2020 Feb  3	809		889		99.10		LEO/S	-	-
C81069	NNA	1966-040	1966-040	D  J	Nimbus 2 debris	[or 70-025 Agena]	1966 May 15	S02173	2001 May?	Earth	-	O	-	GSFC	US	-	-	-	0		0		0		0.0		0.0		0.0		-	2025 Oct 25	990		1080		100.38		LEO/S	-	-
C81073	NNA	-	-	D  Z	deb Oko?	-	-	-	2018 Oct  1	Earth	-	O	-	PVO	RU	-	-	-	0		0		0		0.0		0.0		0.0		-	2018 Oct  1	420		12091		61.58		MEO	-	-
C81078	NNA	1994-085	1994-085	D  W	deb Briz	deb Naryad?	1994 Dec 26	S23440	1994 Dec 26 0627	Earth	-	O	-	RVSNR	RU	-	-	-	0		0		0		0.0		0.0		0.0		-	2025 Oct 25	1903		2192		65.11		MEO	-	-
C81111	NNA	-	-	D  P	deb SOZ?	[or other Mol]	-	-	2018 Oct  2	Earth	-	O	-	RVSN	SU	-	-	-	0		0		0		0.0		0.0		0.0		-	2018 Oct  2	231		13553		62.76		HEO	-	-
C81122	NNA	-	-	D	Unknown SSO debris	-	-	-	2018 Dec 25	Earth	-	O	-	UNK	UNK	-	-	-	0		0		0		0.0		0.0		0.0		-	2018 Dec 25	672		1088		97.64		LEO/S	-	-
C81123	NNA	1970-025	1970-025	D  P	deb Agena D	-	1970 Apr  8	S04367	1970 Oct 17 0317	Earth	-	O	-	GSFC	US	-	-	-	0		0		0		0.0		0.0		0.0		-	2025 Aug 30	958		960		99.98		LEO/S	-	-
